terminal_id,borough,zone
6131.12,Manhattan,Flatiron District
3611.02,Brooklyn,NONE
6822.09,Manhattan,Manhattan Community Board 8
6824.07,Manhattan,Clinton
5359.13,Manhattan,Manhattan Community Board 1
4628.07,Brooklyn,Brooklyn Navy Yard
3180.02,Brooklyn,NONE
7618.01,Manhattan,Manhattan Community Board 11
5340.01,Brooklyn,NONE
4762.04,Brooklyn,Brooklyn Navy Yard
3547.04,Brooklyn,NONE
7781.1,The Bronx,Mott Haven
5579.04,Queens County,Maspeth
6848.04,Queens County,NONE
7386.1,Manhattan,Manhattan Community Board 11
7716.19,Manhattan,East Harlem
5406.04,Manhattan,Lower East Side
8242.04,Manhattan,Manhattan Community Board 12
4278.03,Brooklyn,Bedford-Stuyvesant
8171.06,The Bronx,Bronx County
8319.01,The Bronx,Tremont
6248.06,Manhattan,Manhattan Community Board 5
3958.02,Brooklyn,Eastern Parkway
6185.07,Queens County,Sunnyside
7879.01,The Bronx,Bronx County
3625.07,Brooklyn,NONE
6726.01,Manhattan,Clinton
4072.02,Brooklyn,NONE
4479.06,Brooklyn,NONE
6212.04,Queens County,Hunters Point
7003.06,Queens County,Astoria
7144.02,Queens County,Steinway
6089.07,Manhattan,Manhattan Community Board 6
7670.09,Manhattan,Manhattan Community Board 10
7235.13,Manhattan,Manhattan Community Board 8
6953.08,Manhattan,Lenox Hill
4971.01,Brooklyn,NONE
7937.15,Manhattan,Manhattan Community Board 9
6464.08,Manhattan,Beekman
8766.03,The Bronx,Bedford Park
8278.05,Manhattan,Manhattan Community Board 12
5382.07,Manhattan,Manhattan Community Board 3
6215.07,Manhattan,Manhattan Community Board 5
6224.06,Manhattan,Manhattan Community Board 4
8428.04,The Bronx,Morris Heights
3928.08,Brooklyn,Prospect Heights
6462.05,Queens County,Queensbridge
4122.03,Brooklyn,Bedford-Stuyvesant
4931.05,Brooklyn,NONE
3665.06,Brooklyn,Crown Heights
6247.06,Manhattan,Chelsea
7818.17,Manhattan,Manhattan Community Board 9
7617.07,Manhattan,NONE
6098.12,Manhattan,Flatiron District
5436.11,Manhattan,Lower East Side
5902.07,Brooklyn,NONE
7595.17,Manhattan,Bloomingdale
7344.05,Manhattan,Carnegie Hill
5374.01,Manhattan,Manhattan Community Board 3
5021.05,Brooklyn,NONE
5676.04,Brooklyn,Greenpoint
7669.1,The Bronx,Port Morris
7146.04,Manhattan,Manhattan Community Board 8
7502.01,Manhattan,Manhattan Community Board 7
6969.08,Manhattan,NONE
4816.05,Brooklyn,NONE
5998.09,Queens County,Woodside
6740.01,Manhattan,Manhattan Community Board 5
5550.05,Brooklyn,Greenpoint
5820.08,Manhattan,Manhattan Community Board 3
7456.03,Manhattan,Manhattan Community Board 11
7059.08,Manhattan,NONE
5210.01,Brooklyn,NONE
7132.08,Queens County,Astoria
5794.05,Brooklyn,NONE
5414.06,Manhattan,Manhattan Community Board 3
4419.03,Brooklyn,NONE
5561.04,Manhattan,Manhattan Community Board 2
6004.07,Manhattan,Manhattan Community Board 6
5746.02,Manhattan,Manhattan Community Board 3
3946.07,Brooklyn,NONE
6989.07,Queens County,Astoria
5944.01,Brooklyn,NONE
4962.02,Manhattan,Whitehall
5623.03,Brooklyn,Greenpoint
7121.13,Manhattan,Manhattan Community Board 8
5303.06,Manhattan,Manhattan Community Board 3
4889.06,Manhattan,Whitehall
4895.15,Brooklyn,Dumbo
5335.07,Manhattan,Manhattan Community Board 3
5730.08,Manhattan,Manhattan Community Board 2
4377.04,Brooklyn,Clinton Hill
6517.08,Manhattan,Theater District
6190.08,Manhattan,Manhattan Community Board 4
5977.01,Brooklyn,NONE
7123.04,Manhattan,NONE
5411.07,Brooklyn,Greenpoint
6816.07,Manhattan,Manhattan Community Board 4
8089.05,Manhattan,Manhattan Community Board 9
3919.07,Brooklyn,NONE
5581.01,Brooklyn,Greenpoint
8262.07,Manhattan,Manhattan Community Board 12
5175.08,Manhattan,Whitehall
4336.01,Brooklyn,Clinton Hill
5572.07,Brooklyn,NONE
7610.13,Manhattan,Bloomingdale
6932.14,Manhattan,Manhattan Community Board 8
7393.09,Manhattan,Manhattan Community Board 11
7713.11,Manhattan,Manhattan Community Board 9
4576.11,Brooklyn,NONE
5230.02,Manhattan,Manhattan Community Board 3
4715.01,Brooklyn,Clinton Hill
8005.08,The Bronx,Bronx County
6926.01,Manhattan,Clinton
5024.1,Manhattan,Whitehall
5348.02,Brooklyn,NONE
5216.04,Manhattan,Whitehall
5613.04,Brooklyn,NONE
4342.04,Brooklyn,Bedford-Stuyvesant
5045.05,Brooklyn,NONE
5125.03,Brooklyn,NONE
2984.04,Brooklyn,Kensington
5847.06,Manhattan,Manhattan Community Board 2
5442.05,Brooklyn,NONE
4903.09,Brooklyn,Dumbo
6782.01,Queens County,NONE
6617.09,Manhattan,Sutton
6839.1,Manhattan,Manhattan Community Board 5
7634.01,Manhattan,Bloomingdale
8013.07,Manhattan,Manhattan Community Board 9
5476.03,Manhattan,Alphabet City
6137.04,Queens County,Hunters Point
6441.06,Manhattan,Garment District
5453.05,Manhattan,Manhattan Community Board 3
6700.14,Manhattan,Manhattan Community Board 5
6958.06,Queens County,Astoria
7161.08,Manhattan,NONE
8226.05,Manhattan,Manhattan Community Board 12
3865.05,Brooklyn,NONE
4255.05,Brooklyn,NONE
5709.03,Brooklyn,Greenpoint
8579.03,Manhattan,Manhattan Community Board 12
4214.03,Brooklyn,Bedford-Stuyvesant
6932.15,Manhattan,Manhattan Community Board 8
8665.09,Manhattan,Manhattan Community Board 12
4775.01,Brooklyn,NONE
5414.07,Manhattan,Manhattan Community Board 3
4461.01,Brooklyn,NONE
5453.06,Manhattan,Manhattan Community Board 2
7338.02,Manhattan,Manhattan Community Board 8
7680.03,Manhattan,Bloomingdale
6498.09,Manhattan,Beekman
6289.06,Manhattan,Midtown South
6079.03,Manhattan,Manhattan Community Board 6
4051.01,Brooklyn,NONE
7623.13,Manhattan,Bloomingdale
7265.1,Manhattan,Yorkville
7541.01,Manhattan,Manhattan Community Board 7
8356.04,The Bronx,Tremont
5379.09,Brooklyn,NONE
4354.07,Brooklyn,NONE
4060.09,Brooklyn,NONE
